"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"	"log2fold"	"p"	"p.adj"	"chromosome"	"start"	"stop"	"gene_name"	"gene_type"	"mean"	"mlog10p"	"sig"
"ENSMUSG00000000409"	88.8	83.95	87.86	716	895.03	770.33	3726.39	2186.74	2333.66	3.1917700485	2.49971244968872e-18	4.20576619660127e-16	"4"	129548344	129573641	"Lck"	"protein_coding"	1209.86222222222	17.6021099468063	"TRUE"
"ENSMUSG00000000416"	0.93	0	2.08	7.06	25.1	0	60.57	40.68	31.17	3.3758091531	0.0096881536	0.0453559883	"6"	18366478	18514843	"Cttnbp2"	"protein_coding"	18.6211111111111	2.01375898432582	"TRUE"
"ENSMUSG00000000440"	41.63	48.97	41.51	60.39	180.55	112.53	41	13.83	73.93	1.4168823046	0.0018273388	0.0122035111	"6"	115360951	115490399	"Pparg"	"protein_coding"	68.26	2.73818092427889	"TRUE"
"ENSMUSG00000000530"	1175.69	1514.24	1661.06	536.41	821.66	471.26	1261.7	731.36	816.78	-1.2514137396	1.59489711969698e-06	3.03875238431399e-05	"15"	101128522	101145336	"Acvrl1"	"protein_coding"	998.906666666667	5.79726732626758	"TRUE"
"ENSMUSG00000000544"	14.8	20.21	26.29	3.14	0.97	0	0	0	0	-3.8983336294	0.0043725867	0.0243320533	"1"	166130238	166166510	"Gpa33"	"protein_coding"	7.26777777777778	2.35926157053807	"TRUE"
"ENSMUSG00000000552"	1985.08	2442.37	2247.03	652.48	1007.03	550.56	354.1	683.36	752.65	-1.5950327546	4.29813995930372e-05	0.0005437968	"15"	103313895	103340086	"Zfp385a"	"protein_coding"	1186.07333333333	4.36671944678696	"TRUE"
"ENSMUSG00000000555"	1664.1	1808.85	1953.7	852.45	590.9	501.47	539.53	1962.21	1473.23	-1.4804015643	6.06881201217328e-05	0.0007243342	"15"	103344286	103366763	"Itga5"	"protein_coding"	1260.71555555556	4.21689631502894	"TRUE"
"ENSMUSG00000000561"	394.98	378.56	425.47	227.43	205.66	328.52	136.98	198.5	237.82	-0.6531032908	0.0079551741	0.0389963954	"3"	105959369	105970037	"Wdr77"	"protein_coding"	281.546666666667	2.09935031132326	"FALSE"
"ENSMUSG00000000581"	1092.44	1101.48	1131.82	1249.27	1487.86	2159.96	1411.72	892.43	972.65	0.5584325855	0.0081825116	0.0399325707	"11"	17257579	17269176	"C1d"	"protein_coding"	1277.73666666667	2.08711337033864	"FALSE"
"ENSMUSG00000000627"	77.7	39.64	51.19	243.11	111.03	138.96	210.59	279.85	141.62	1.553143623	0.0009884292	0.0073701209	"6"	82911885	82939769	"Sema4f"	"protein_coding"	143.743333333333	3.00505443322994	"TRUE"
"ENSMUSG00000000682"	5929.34	8482.22	8687.17	10700.75	15560.28	21108.65	15153.44	8512.69	7854.27	1.0361249067	0.0042508215	0.0238016345	"4"	134082448	134095082	"Cd52"	"protein_coding"	11332.09	2.37152713149315	"TRUE"
"ENSMUSG00000000693"	313.58	282.95	300.94	1263.39	1565.1	460.69	2285.78	2952.27	2959.83	1.8734978308	9.66639761777895e-07	1.941e-05	"6"	83034173	83052562	"Loxl3"	"protein_coding"	1376.05888888889	6.01473534455244	"TRUE"
"ENSMUSG00000000731"	17.58	3.11	5.53	632.09	351.45	282.46	1299.9	1438.31	1528.46	5.6327037618	2.33107322470542e-25	7.48202779800449e-23	"10"	78030022	78043610	"Aire"	"protein_coding"	617.654444444444	24.6324440840144	"TRUE"
"ENSMUSG00000000738"	1933.28	1713.24	1703.95	1365.34	871.86	875.31	1542.18	1047	1261.24	-0.7812315279	0.0015905406	0.0109048467	"8"	123062942	123097760	"Spg7"	"protein_coding"	1368.15555555556	2.79845524065223	"FALSE"
"ENSMUSG00000000751"	2708.44	3386.83	2500.93	2342.48	860.28	1567.86	1079.99	1317.9	932.57	-0.849089903	0.0029317666	0.0176983355	"11"	75298166	75348324	"Rpa1"	"protein_coding"	1855.25333333333	2.53287060714374	"FALSE"
"ENSMUSG00000000766"	12.95	27.21	4.15	0.78	0	2.27	0	0.81	2.67	-3.8067229305	0.0069309301	0.034961314	"10"	6758506	7038198	"Oprm1"	"protein_coding"	5.64888888888889	2.15920848108904	"TRUE"
"ENSMUSG00000000782"	212.75	239.42	372.89	6132.64	6372.42	3418.17	9843.86	18100.03	20312.62	4.2692180247	1.27477378603392e-33	9.60222205561632e-31	"11"	52252371	52283014	"Tcf7"	"protein_coding"	7222.75555555556	32.894566875774	"TRUE"
"ENSMUSG00000000817"	21.28	31.87	24.91	90.19	280	154.07	218.98	133.42	99.76	2.7468490024	0.00919648	0.0435762348	"1"	161780689	161788495	"Fasl"	"protein_coding"	117.164444444444	2.03637836929586	"TRUE"
"ENSMUSG00000000823"	613.28	652.96	621.95	277.62	156.41	255.27	241.34	445.81	451.59	-1.4522931068	1.59175596424071e-05	0.0002269911	"2"	181582103	181592803	"Zfp512b"	"protein_coding"	412.914444444444	4.79812351417844	"TRUE"
"ENSMUSG00000000903"	26.83	38.87	48.43	133.32	109.1	612.49	78.27	80.54	92.63	2.9034509038	1.22295750760624e-05	0.0001812588	"10"	75943057	75949657	"Vpreb3"	"protein_coding"	135.608888888889	4.91258863252441	"TRUE"
"ENSMUSG00000000934"	169.28	273.62	257.36	158.41	111.03	49.85	168.66	85.42	73.93	-1.1349146597	0.0033662018	0.0197661325	"15"	75657035	75678800	"Top1mt"	"protein_coding"	149.728888888889	2.47285985211557	"TRUE"
"ENSMUSG00000000942"	14.8	3.89	8.99	0	0	0	0	2.44	12.47	-5.9147195271	0.0027279875	0.0167050203	"6"	52189671	52191753	"Hoxa4"	"protein_coding"	4.73222222222222	2.56415762400583	"TRUE"
"ENSMUSG00000000957"	167.43	205.22	186.79	930.09	1538.07	1066.38	55.91	216.4	309.97	2.6591341992	9.4e-08	2.48444633243742e-06	"14"	54431612	54441265	"Mmp14"	"protein_coding"	519.584444444444	7.0268721464003	"TRUE"
"ENSMUSG00000001020"	7.4	10.11	6.92	196.06	490.48	511.29	15.84	27.66	27.61	5.6159244624	9.13897129305596e-11	4.59437007438618e-09	"3"	90603771	90606045	"S100a4"	"protein_coding"	143.707777777778	10.0391026868584	"TRUE"
"ENSMUSG00000001021"	0.93	3.11	0	20.39	40.55	28.7	4.66	21.15	3.56	4.4856424633	0.0001779892	0.0017887228	"3"	90560578	90602702	"S100a3"	"protein_coding"	13.6722222222222	3.74960634894224	"TRUE"
"ENSMUSG00000001025"	370.93	380.89	324.46	1844.5	2951.59	3426.47	366.21	329.48	381.22	2.9335659155	0.0001138846	0.0012253604	"3"	90612882	90624181	"S100a6"	"protein_coding"	1152.86111111111	3.94353499925015	"TRUE"
"ENSMUSG00000001027"	0	0.78	0	49.41	4.83	24.17	26.09	56.13	105.99	6.5267132341	0.0001897279	0.0018804241	"11"	106318592	106353288	"Scn4a"	"protein_coding"	29.7111111111111	3.72186880023893	"TRUE"
"ENSMUSG00000001029"	70.3	76.18	106.54	610.13	471.17	815.65	469.64	351.44	293.93	2.9050613596	2e-09	7.58151131335323e-08	"11"	106377656	106388075	"Icam2"	"protein_coding"	362.775555555556	8.69897000433602	"TRUE"
"ENSMUSG00000001052"	2113.66	1881.14	2323.13	1064.19	1087.17	810.36	603.83	942.87	1156.14	-1.0932618187	5.68042706797771e-05	0.0006858261	"3"	129982759	130061553	"Sec24b"	"protein_coding"	1331.38777777778	4.24561901177247	"TRUE"
"ENSMUSG00000001098"	971.26	1038.51	924.96	781.87	577.38	320.97	698.87	1044.56	1269.26	-0.8048662956	0.0016451483	0.0112386143	"5"	114363567	114380508	"Kctd10"	"protein_coding"	847.515555555556	2.78379494697317	"FALSE"
"ENSMUSG00000001119"	373.71	447.74	327.23	36.86	93.66	214.49	98.77	125.28	285.92	-1.7344128422	0.0056950151	0.0301408171	"10"	76708792	76726168	"Col6a1"	"protein_coding"	222.628888888889	2.24450512007689	"TRUE"
"ENSMUSG00000001123"	2998.89	3230.58	2868.28	918.33	1089.1	1604.86	910.4	483.23	487.22	-1.3325206861	0.0034332916	0.0201033982	"11"	78962974	78984946	"Lgals9"	"protein_coding"	1621.21	2.46428930904358	"TRUE"
"ENSMUSG00000001138"	522.63	502.16	346.6	258.79	246.21	85.34	173.32	407.57	313.53	-1.2169369234	0.0022278737	0.0142533359	"1"	36511867	36528237	"Cnnm3"	"protein_coding"	317.35	2.65210943331331	"TRUE"
"ENSMUSG00000001151"	1349.59	1491.7	1516.47	1019.49	820.69	926.67	708.19	1324.41	797.18	-0.655186895	0.0036286289	0.0209706607	"10"	76351254	76442912	"Pcnt"	"protein_coding"	1106.04333333333	2.44025744483973	"FALSE"
"ENSMUSG00000001175"	28408.08	29254.03	26417.8	89162.48	113774.65	121548.08	202969.56	104894.6	117775.78	1.9483197675	0.0004340383	0.0037183337	"12"	100199435	100209806	"Calm1"	"protein_coding"	92689.4511111111	3.36247194619081	"TRUE"
"ENSMUSG00000001227"	536.51	415.09	411.63	27.45	0	11.33	0.93	39.05	31.17	-5.1251239208	1.24143080052906e-08	4.00928340424735e-07	"17"	56123085	56140343	"Sema6b"	"protein_coding"	163.684444444444	7.90607748375015	"TRUE"
"ENSMUSG00000001247"	43.48	48.97	62.26	164.69	181.52	118.57	260.91	113.08	134.5	1.5816636223	8.99308673305301e-06	0.0001383649	"7"	30957770	30973464	"Lsr"	"protein_coding"	125.331111111111	5.04609121805049	"TRUE"
"ENSMUSG00000001270"	11408.19	13949.19	12508.78	5087.27	5236	3751.98	1165.72	1167.4	1485.7	-1.4277667991	0.0038573709	0.0220483095	"12"	111669355	111672338	"Ckb"	"protein_coding"	6195.58111111111	2.4137086001594	"TRUE"
"ENSMUSG00000001281"	14529.18	16461.52	15227.63	10319.62	7540.69	6141.52	4247.29	2895.32	2355.93	-0.9453204023	0.0060980515	0.0317186855	"15"	102215995	102231935	"Itgb7"	"protein_coding"	8857.63333333333	2.21480891219901	"FALSE"
"ENSMUSG00000001288"	7.4	15.55	16.6	210.17	232.69	117.06	54.05	86.23	106.89	3.8055451932	2.0097277033572e-16	2.5258403057314e-14	"15"	102234938	102257517	"Rarg"	"protein_coding"	94.0711111111111	15.6968627808583	"TRUE"
"ENSMUSG00000001300"	56.43	31.09	10.38	360.74	670.07	428.97	50.32	464.52	639.53	3.9020884989	2.82274601489209e-05	0.0003775061	"8"	8617434	8661242	"Efnb2"	"protein_coding"	301.338888888889	4.54932819705435	"TRUE"
"ENSMUSG00000001334"	1776.95	2066.14	1453.51	414.07	297.38	343.63	5920.85	3700.71	3968.11	-2.3272271843	1.04608039928578e-11	6.21777076076901e-10	"4"	129136999	129144593	"Fndc5"	"protein_coding"	2215.70555555556	10.9804349353308	"TRUE"
"ENSMUSG00000001376"	1208.99	890.04	1083.39	549.74	322.48	286.23	164.93	407.57	449.81	-1.4576305041	0.0004476657	0.0038122572	"6"	3498382	3603531	"Vps50"	"protein_coding"	595.908888888889	3.34904617984347	"TRUE"
"ENSMUSG00000001435"	109.15	123.6	109.31	7.84	1.93	36.25	0.93	23.59	11.58	-2.8841345886	0.0017377748	0.0117342281	"10"	77052178	77166548	"Col18a1"	"protein_coding"	47.1311111111111	2.76000650490361	"TRUE"
"ENSMUSG00000001440"	1628.95	1705.46	1590.49	961.46	903.72	1011.25	1250.52	894.06	932.57	-0.775581714	7.86994527173717e-05	0.000894772	"11"	97159714	97187881	"Kpnb1"	"protein_coding"	1208.72	4.10402828775087	"FALSE"
"ENSMUSG00000001467"	8452.77	5320.82	5617.57	3336.88	2712.14	2659.92	3890.39	6377.19	7250.37	-1.1547288577	3.6985e-05	0.0004786711	"5"	4081145	4104746	"Cyp51"	"protein_coding"	5068.67222222222	4.43197437696207	"TRUE"
"ENSMUSG00000001517"	1141.47	896.26	947.79	657.18	257.79	281.7	176.12	257.07	194.17	-1.3183794048	0.0026116499	0.016134691	"6"	128362967	128376146	"Foxm1"	"protein_coding"	534.394444444444	2.58308504205578	"TRUE"
"ENSMUSG00000001552"	3971.08	3631.69	4233.93	1503.36	1739.86	774.87	1380.97	1670.97	1409.1	-1.5590875583	7.95953626209862e-08	2.129e-06	"11"	100368958	100397763	"Jup"	"protein_coding"	2257.31444444444	7.09911223435761	"TRUE"
"ENSMUSG00000001569"	923.16	936.68	1239.05	805.4	457.66	407.82	529.28	579.23	815	-0.8910657768	0.0043610692	0.0243015457	"5"	29434664	29457843	"Nom1"	"protein_coding"	743.697777777778	2.36040702203107	"FALSE"
"ENSMUSG00000001588"	5556.55	5541.58	5867.32	3762.71	2604	2213.58	1948.46	2180.24	1813.48	-0.9834789766	0.0001684881	0.0017039108	"11"	69881567	69895539	"Acap1"	"protein_coding"	3498.65777777778	3.77343076711809	"FALSE"
"ENSMUSG00000001604"	8.33	3.11	4.84	37.64	127.45	49.85	28.89	16.27	19.6	3.7402775478	1.50679534556855e-09	5.91431952976555e-08	"4"	136247729	136274898	"Tcea3"	"protein_coding"	32.8866666666667	8.82194572998524	"TRUE"
"ENSMUSG00000001663"	31.45	32.65	27.67	152.14	231.72	370.82	427.71	162.7	126.48	3.0402855731	0.0001444952	0.0014931171	"10"	75783813	75798584	"Gstt1"	"protein_coding"	173.704444444444	3.84014657953814	"TRUE"
"ENSMUSG00000001666"	49.95	58.3	40.13	139.59	151.59	339.85	242.28	100.06	73.04	2.0909406498	1.11122917272689e-06	2.18919492262522e-05	"10"	75771230	75773414	"Ddt"	"protein_coding"	132.754444444444	5.95419636573336	"TRUE"
"ENSMUSG00000001700"	197.95	185.78	354.9	2389.53	2039.17	2394.83	9034.1	3008.4	3057.8	3.2064545702	2.4730281998375e-16	3.05294599604792e-14	"18"	56432132	56503792	"Gramd3"	"protein_coding"	2518.05111111111	15.6067709313686	"TRUE"
"ENSMUSG00000001729"	10330.55	10726.38	10064.58	7290.16	7385.24	4401.48	8478.73	7661.74	7111.42	-0.7061633781	0.0017153205	0.0116217704	"12"	112653821	112674884	"Akt1"	"protein_coding"	8161.14222222222	2.76565472204862	"FALSE"
"ENSMUSG00000001739"	22.2	53.64	36.67	0.78	0	0.76	0	8.95	0.89	-6.1215800136	2.2983336316117e-05	0.0003138098	"5"	136966616	136975858	"Cldn15"	"protein_coding"	13.7655555555556	4.63858692784493	"TRUE"
"ENSMUSG00000001763"	1444.87	2008.62	1582.19	3681.94	5148.14	3413.64	9128.22	8037.59	7670.79	1.2816704794	0.0004201965	0.0036315491	"6"	29694222	29718559	"Tspan33"	"protein_coding"	4679.55555555556	3.37654756934324	"TRUE"
"ENSMUSG00000001768"	2701.04	1740.44	2522.37	758.35	545.52	315.69	185.43	458.83	459.61	-2.104344163	1.97114398407827e-05	0.0002741598	"2"	145784734	145887616	"Rin2"	"protein_coding"	1076.36444444444	4.70528165111032	"TRUE"
"ENSMUSG00000001855"	1966.58	1374.32	1651.37	824.22	717.38	895.7	724.03	1023.41	1129.42	-1.033982658	0.0001158122	0.0012422569	"2"	31974436	32053975	"Nup214"	"protein_coding"	1145.15888888889	3.93624568833229	"TRUE"
"ENSMUSG00000001891"	1727.92	1490.92	1419.61	1010.87	1038.9	944.79	999.85	1146.25	1093.79	-0.6311458922	0.0002456971	0.0023449125	"11"	21321138	21371201	"Ugp2"	"protein_coding"	1208.1	3.60959996953307	"FALSE"
"ENSMUSG00000001910"	1046.19	1305.14	1158.1	581.11	377.52	420.66	722.17	668.71	583.41	-1.346758105	6.2e-08	1.70754069293908e-06	"8"	84670483	84687862	"Nacc1"	"protein_coding"	762.556666666667	7.20760831050175	"TRUE"
"ENSMUSG00000001918"	8585.05	8758.18	9407.35	5535.06	4212.55	4608.41	1248.65	3688.5	3554.82	-0.8978890764	0.0020399467	0.0132873578	"7"	16781340	16798274	"Slc1a5"	"protein_coding"	5510.95222222222	2.69038117973012	"FALSE"
"ENSMUSG00000001924"	6112.49	5985.44	5516.56	5201.77	3520.28	2953.7	5183.78	6332.45	6393.51	-0.593192165	0.010742934	0.0491679703	"X"	20658326	20683179	"Uba1"	"protein_coding"	5244.44222222222	1.96887709238012	"FALSE"
"ENSMUSG00000001946"	256.23	332.7	237.29	1272.8	1490.76	1089.04	2444.19	3334.62	3710.69	2.2211200352	1.60582174019861e-10	7.54555382111793e-09	"9"	37528078	37538319	"Esam"	"protein_coding"	1574.25777777778	9.79430266674408	"TRUE"
"ENSMUSG00000001986"	24.98	31.09	6.92	334.08	418.07	388.19	105.3	699.63	534.43	4.1832588717	6.11481121829507e-09	2.13333288373395e-07	"X"	41400854	41678601	"Gria3"	"protein_coding"	282.521111111111	8.21361694633306	"TRUE"
"ENSMUSG00000002007"	0.93	38.87	23.52	399.95	290.62	508.27	113.68	530.42	359.85	4.2359867779	9.70828782635754e-08	2.55737385001638e-06	"X"	73774405	73778925	"Srpk3"	"protein_coding"	251.79	7.01285735640831	"TRUE"
"ENSMUSG00000002015"	2765.79	2843.47	2478.79	3885.05	3779.04	5515.44	4486.77	2310.4	2322.08	0.7045563104	0.0048890697	0.0265903705	"X"	73686178	73716175	"Bcap31"	"protein_coding"	3376.31444444444	2.31077377126355	"FALSE"
"ENSMUSG00000002020"	14.8	20.99	16.6	155.28	177.66	195.6	123	152.13	97.98	3.3324125056	2.13942262914564e-10	9.83144808631399e-09	"12"	84783212	84876532	"Ltbp2"	"protein_coding"	106.004444444444	9.6697034148789	"TRUE"
"ENSMUSG00000002033"	54.58	51.3	35.28	193.7	274.21	364.78	2225.21	567.84	595.88	2.5622634555	1.5841409914399e-05	0.0002265246	"9"	44969572	44980431	"Cd3g"	"protein_coding"	484.753333333333	4.80020616802469	"TRUE"
"ENSMUSG00000002055"	993.46	687.16	967.85	473.67	240.41	238.65	65.23	170.03	101.54	-1.474580725	0.0008662697	0.006600798	"11"	78301529	78322457	"Spag5"	"protein_coding"	437.555555555556	3.06234687589643	"TRUE"
"ENSMUSG00000002058"	2578.01	4029.68	2998.34	687.77	695.17	858.7	297.25	269.28	272.56	-2.0993251909	1.14839229276861e-07	2.96521143614251e-06	"11"	78343482	78349164	"Unc119"	"protein_coding"	1409.64	6.93990973085621	"TRUE"
"ENSMUSG00000002068"	370.93	356.02	348.68	797.56	345.66	1163.05	214.32	193.62	280.57	1.1009912065	0.0109393303	0.0498349991	"7"	38097984	38107534	"Ccne1"	"protein_coding"	452.267777777778	1.96100926446667	"TRUE"
"ENSMUSG00000002076"	0.93	0	0	24.31	34.76	36.25	12.11	0.81	12.47	6.8063485136	0.0015251721	0.0105607919	"17"	31944769	32034508	"Hsf2bp"	"protein_coding"	13.5155555555556	2.81668114788228	"TRUE"
"ENSMUSG00000002083"	132.28	173.34	178.49	774.81	842.9	796.77	639.24	787.49	631.51	2.3161576195	1.38340253749787e-18	2.3852832346957e-16	"7"	16308393	16318205	"Bbc3"	"protein_coding"	550.758888888889	17.8590514320545	"TRUE"
"ENSMUSG00000002129"	1727	1630.84	1894.2	1420.23	877.66	578.51	1354.88	1312.21	1131.2	-0.8686258556	0.0035320171	0.0205432038	"11"	4160350	4182541	"Sf3a1"	"protein_coding"	1325.19222222222	2.45197720248471	"FALSE"
"ENSMUSG00000002190"	0	3.89	13.84	110.58	11.59	107.24	6.52	5.69	1.78	3.6777944101	0.0035520974	0.0206312385	"8"	83389867	83428552	"Clgn"	"protein_coding"	29.0144444444444	2.44951513419338	"TRUE"
"ENSMUSG00000002205"	1387.52	1511.91	1225.21	1872.73	2289.24	1858.62	3170.09	2541.44	2205.4	0.5455249552	0.003977124	0.022590454	"7"	44748413	44777515	"Vrk3"	"protein_coding"	2006.90666666667	2.40043086823548	"FALSE"
"ENSMUSG00000002228"	808.46	803.76	707.04	120.77	28.97	54.38	860.08	370.97	382.11	-3.5021440863	2.42404239489496e-13	1.82573272507919e-11	"3"	104781056	104786018	"Ppm1j"	"protein_coding"	459.615555555556	12.6154597889167	"TRUE"
"ENSMUSG00000002319"	296	303.94	285.72	204.68	168.97	169.17	150.96	89.49	156.76	-0.7055191892	0.0030150936	0.0180810284	"14"	55625400	55637895	"Ipo4"	"protein_coding"	202.854444444444	2.52069920115815	"FALSE"
"ENSMUSG00000002346"	74	52.86	33.9	145.87	213.38	86.1	176.12	99.25	182.6	1.4737045789	0.0003539026	0.003181159	"8"	70184340	70212305	"Slc25a42"	"protein_coding"	118.231111111111	3.45111624673941	"TRUE"
"ENSMUSG00000002365"	3862.86	3730.41	4236.7	2245.24	1885.66	1627.52	1692.21	1183.67	1383.27	-1.0387535135	1.82603331561736e-07	4.40422347557515e-06	"17"	5841328	5931033	"Snx9"	"protein_coding"	2427.50444444444	6.73849130311235	"TRUE"
"ENSMUSG00000002379"	478.23	718.25	643.39	1173.2	1313.1	2122.95	1905.59	798.06	766.01	1.3247506284	0.0003092579	0.0028473292	"17"	56717762	56724248	"Ndufa11"	"protein_coding"	1102.08666666667	3.50967919749485	"TRUE"
"ENSMUSG00000002416"	136.9	114.27	87.17	162.33	205.66	275.66	128.59	152.13	92.63	0.9308565102	0.0057265975	0.0302619057	"6"	39592574	39603382	"Ndufb2"	"protein_coding"	150.593333333333	2.24210334066386	"FALSE"
"ENSMUSG00000002428"	2323.63	1813.51	2422.75	755.21	421.93	371.57	275.82	610.14	647.55	-2.0824441761	3.69811855557276e-06	6.27777440398002e-05	"3"	20057811	20118490	"Hltf"	"protein_coding"	1071.34555555556	5.4320191701899	"TRUE"
"ENSMUSG00000002458"	3049.77	3271.78	3553.18	2373.85	2214.9	1990.03	2939.93	2417.78	2783.47	-0.5861544339	6.09392975508264e-05	0.0007252176	"2"	181688419	181693977	"Rgs19"	"protein_coding"	2732.74333333333	4.21510255621046	"FALSE"
"ENSMUSG00000002489"	966.64	1127.13	1012.82	225.07	289.66	248.47	29.82	496.25	583.41	-2.0253852794	0.001266801	0.0090635356	"16"	89787111	89980080	"Tiam1"	"protein_coding"	553.252222222222	2.89729160247228	"TRUE"
"ENSMUSG00000002496"	1763.08	1295.81	1400.24	1092.43	627.59	520.35	1711.77	1688.06	1579.23	-0.9927257118	0.0024995599	0.0156165558	"17"	24595937	24632629	"Tsc2"	"protein_coding"	1297.61777777778	2.60213645125876	"FALSE"
"ENSMUSG00000002580"	195.18	192	182.64	468.97	566.76	788.46	993.33	379.1	366.08	1.6790742679	1.66641648083152e-06	3.1406e-05	"11"	98437708	98438991	"Mien1"	"protein_coding"	459.168888888889	5.77821644787381	"TRUE"
"ENSMUSG00000002602"	325.6	179.56	242.83	1172.42	1436.69	607.2	195.68	237.55	306.4	2.1047085481	1.86911977661045e-06	3.45704307619006e-05	"7"	25757273	25788705	"Axl"	"protein_coding"	522.658888888889	5.7283628673455	"TRUE"
"ENSMUSG00000002603"	6284.54	6246.62	5645.24	1886.85	3001.79	1595.8	762.24	1015.27	1212.25	-1.4873469716	1.25257063007634e-08	4.03900789107923e-07	"7"	25687002	25705077	"Tgfb1"	"protein_coding"	3072.28888888889	7.90219777573013	"TRUE"
"ENSMUSG00000002608"	1952.7	1813.51	1650.68	1209.28	1348.83	813.38	1375.38	1452.14	1450.96	-0.6844857703	0.0015891299	0.0108987565	"7"	25711106	25719088	"Ccdc97"	"protein_coding"	1451.87333333333	2.79884060087482	"FALSE"
