"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"	"log2fold"	"p"	"p.adj"	"chromosome"	"start"	"stop"	"gene_name"	"gene_type"	"mean"	"mlog10p"	"sig"
"ENSMUSG00000000154"	38.85	41.2	41.51	25.88	53.1	95.16	425.85	123.66	32.07	0.5192042018	0.4356518978	0.6408380133	"7"	143473736	143499334	"Slc22a18"	"protein_coding"	97.4755555555556	0.360860389739002	"FALSE"
"ENSMUSG00000000157"	14.8	31.09	57.42	16.47	0	0	0	0	0	-2.6451897053	0.1701704671	0.3596299083	"16"	96422288	96443619	"Itgb2l"	"protein_coding"	13.3088888888889	0.769115809048184	"FALSE"
"ENSMUSG00000000159"	10.18	10.88	8.99	5.49	2.9	29.45	0	13.02	32.96	0.3356474097	0.8513837163	0.9251433059	"16"	96361668	96525580	"Igsf5"	"protein_coding"	12.6522222222222	0.0698746604645952	"FALSE"
"ENSMUSG00000000167"	7.4	13.99	6.92	8.63	21.24	24.17	27.02	12.2	32.96	0.9313841806	0.3937549429	0.6041903401	"9"	50617321	50625000	"Pih1d2"	"protein_coding"	17.17	0.404773981365592	"FALSE"
"ENSMUSG00000000168"	1147.02	1094.48	1103.45	980.28	632.41	696.32	599.17	721.59	786.5	-0.5341210932	0.0155507384	0.0647574961	"9"	50634633	50659780	"Dlat"	"protein_coding"	862.357777777778	1.80824898442288	"FALSE"
"ENSMUSG00000000171"	2826.84	3215.04	3180.29	4717.11	3871.73	5700.47	5693.49	2716.35	2720.23	0.6317699454	0.1551201482	0.3374983473	"9"	50596357	50603812	"Sdhd"	"protein_coding"	3849.06111111111	0.809331789009215	"FALSE"
"ENSMUSG00000000184"	7844.11	9439.12	8082.52	5022.18	5761.24	8228.98	9405.9	13255.51	14590.7	-0.4159262892	0.2654886499	0.4767507061	"6"	127125162	127152193	"Ccnd2"	"protein_coding"	9070.02888888889	0.575954041027579	"FALSE"
"ENSMUSG00000000194"	1137.77	1226.63	915.28	1332.4	1312.14	892.68	1584.11	1740.94	1558.74	0.108995325	0.6215939061	0.7837259722	"2"	31152316	31218775	"Gpr107"	"protein_coding"	1300.07666666667	0.206493251864987	"FALSE"
"ENSMUSG00000000204"	1.85	10.11	0	3.14	22.21	1.51	0	15.46	24.94	1.1588577917	0.4587700248	0.6592725601	"11"	83175186	83190216	"Slfn4"	"protein_coding"	8.80222222222222	0.338404965856282	"FALSE"
"ENSMUSG00000000214"	0	0.78	0	0	0	0	0	0	0	-0.894749592	0.8858561329	0.9456898378	"7"	142892752	142931128	"Th"	"protein_coding"	0.0866666666666667	0.052636803802518	"FALSE"
"ENSMUSG00000000216"	0	9.33	0	18.82	0	0	0	9.76	2.67	1.0136261212	0.6273153988	0.7868040275	"7"	121734479	121768475	"Scnn1g"	"protein_coding"	4.50888888888889	0.202514051643622	"FALSE"
"ENSMUSG00000000244"	65.68	86.28	51.19	894.02	833.24	1302.01	533.94	456.39	426.65	3.8990955885	2.28907560887089e-15	2.36420714989472e-13	"7"	143005046	143019644	"Tspan32"	"protein_coding"	516.6	14.6403398622083	"TRUE"
"ENSMUSG00000000247"	0	0.78	0	25.1	88.83	14.35	98.77	159.45	125.59	7.2282396271	1.42135885984423e-07	3.56844884391458e-06	"2"	38339281	38369733	"Lhx2"	"protein_coding"	56.9855555555556	6.84729625903655	"TRUE"
"ENSMUSG00000000248"	14.8	1.55	19.37	13.33	72.41	39.27	3.73	15.46	35.63	1.8051505287	0.1614180302	0.3474878016	"6"	128934381	128984707	"Clec2g"	"protein_coding"	23.95	0.792047956732738	"FALSE"
"ENSMUSG00000000253"	0.93	1.55	11.07	31.37	65.66	1.51	37.27	3.25	25.83	2.8323863579	0.010408655	0.0479201946	"13"	45507444	45546382	"Gmpr"	"protein_coding"	19.8266666666667	1.98260538612988	"TRUE"
"ENSMUSG00000000266"	0.93	3.11	0	29.02	87.86	91.38	0.93	31.73	8.02	5.7045699434	3.01e-07	6.90036868814047e-06	"X"	140664599	140767715	"Mid2"	"protein_coding"	28.1088888888889	6.52143350440616	"TRUE"
"ENSMUSG00000000275"	9725.59	8803.26	6968.69	3331.39	3935.45	3449.89	2168.37	3743.82	3643.89	-1.250498782	0.0016948887	0.0115264528	"11"	88999376	89020293	"Trim25"	"protein_coding"	5085.59444444444	2.77085881578709	"TRUE"
"ENSMUSG00000000276"	1372.72	884.6	702.89	622.67	416.14	725.02	198.48	554.82	955.73	-0.746179496	0.0565329379	0.1684683164	"11"	89035179	89066850	"Dgke"	"protein_coding"	714.785555555556	1.24769844456634	"FALSE"
"ENSMUSG00000000278"	5626.86	5590.56	5177.57	6771.78	7414.21	6543.3	26417.41	12244.31	14165.84	0.3384112877	0.1808550977	0.374360542	"11"	88924020	88955465	"Scpep1"	"protein_coding"	9994.64888888889	0.742669245421693	"FALSE"
"ENSMUSG00000000282"	1392.14	1165.22	1052.26	497.98	862.21	610.23	455.67	536.11	466.73	-0.8741501858	9.16693165041927e-05	0.0010167448	"11"	74830920	74845725	"Mnt"	"protein_coding"	782.061111111111	4.03777600678196	"FALSE"
"ENSMUSG00000000290"	21315.08	20052	20247.46	9679.69	8614.35	5390.83	2534.58	3018.16	2945.57	-1.3793388613	1.22655522382656e-08	3.97354373209527e-07	"10"	77530252	77565708	"Itgb2"	"protein_coding"	10421.9688888889	7.91131289355362	"TRUE"
"ENSMUSG00000000295"	313.58	334.25	280.88	301.93	240.41	398.76	396.03	182.23	163	0.0202982229	0.950894997	0.9809306455	"10"	31313383	31328204	"Hddc2"	"protein_coding"	290.118888888889	0.021867437574903	"FALSE"
"ENSMUSG00000000301"	17.58	26.43	33.21	7.84	17.38	29.45	8.39	21.15	23.16	-0.4990696124	0.5778514769	0.7519782537	"11"	59970614	60046489	"Pemt"	"protein_coding"	20.51	0.238183772395236	"FALSE"
"ENSMUSG00000000303"	5951.54	3995.48	4530.72	6.27	5.79	3.02	13.98	91.11	12.47	-9.9106745933	4.20084967938921e-22	1.04336103406068e-19	"8"	106603351	106670246	"Cdh1"	"protein_coding"	1623.37555555556	21.3766628587095	"TRUE"
"ENSMUSG00000000308"	25.9	48.97	77.48	0	0	0	1.86	2.44	0	-8.3794698803	3.05893619729967e-08	9.07803497642434e-07	"2"	121357714	121363737	"Ckmt1"	"protein_coding"	17.4055555555556	7.51442958135127	"TRUE"
"ENSMUSG00000000317"	13.88	29.54	35.97	7.06	10.62	4.53	0	8.95	0.89	-1.8409910098	0.3046357864	0.5177242678	"11"	70224128	70229798	"Bcl6b"	"protein_coding"	12.3822222222222	0.516219080241144	"FALSE"
"ENSMUSG00000000318"	1139.62	1448.94	1292.32	476.02	1090.07	691.79	27.95	17.08	48.99	-0.7816184673	0.2171917282	0.4204965688	"11"	70156197	70170834	"Clec10a"	"protein_coding"	692.531111111111	0.663156718979614	"FALSE"
"ENSMUSG00000000320"	12.03	9.33	0	1.57	0	0	4.66	17.9	0.89	-3.7241290655	0.0556037755	0.1665558605	"11"	70241457	70255353	"Alox12"	"protein_coding"	5.15333333333333	1.25489571879298	"FALSE"
"ENSMUSG00000000325"	73.08	122.04	87.17	103.52	116.83	49.85	53.11	82.98	121.14	-0.0664447953	0.8843475397	0.9448045228	"16"	18348182	18407076	"Arvcf"	"protein_coding"	89.9688888888889	0.0533770280726953	"FALSE"
"ENSMUSG00000000326"	1222.87	1398.42	1258.42	1224.96	1784.28	1469.68	904.81	750.07	756.21	0.2069732233	0.4719724913	0.6704182709	"16"	18406886	18426852	"Comt"	"protein_coding"	1196.63555555556	0.326083313282791	"FALSE"
"ENSMUSG00000000339"	497.66	616.42	633.01	567.78	448.97	737.1	1186.22	568.65	709	0.0058625578	0.9833683552	0.9943185216	"3"	116488963	116508208	"Rtca"	"protein_coding"	662.756666666667	0.00728377142021776	"FALSE"
"ENSMUSG00000000340"	456.96	349.8	393.64	214.88	126.48	276.41	50.32	178.97	321.55	-0.9573298467	0.0728696745	0.2013882658	"3"	116513070	116549981	"Dbt"	"protein_coding"	263.223333333333	1.13745317041166	"FALSE"
"ENSMUSG00000000346"	16199.76	15520.95	17697.42	16878.09	17421.8	18104.35	17982.47	20082.58	22194.69	0.0846350813	0.6543439945	0.8058079273	"15"	100615628	100620731	"Dazap2"	"protein_coding"	18009.1233333333	0.184193879141865	"FALSE"
"ENSMUSG00000000355"	1325.54	1389.09	1313.76	925.39	951.03	1581.45	1048.31	716.71	627.95	-0.2202863157	0.7906948435	0.8901503626	"X"	38600578	38613426	"Mcts1"	"protein_coding"	1097.69222222222	0.101991093435707	"FALSE"
"ENSMUSG00000000359"	24.05	7	10.38	291.73	387.17	215.24	23.3	164.33	208.43	4.4427601256	1.1477232814519e-09	4.61367067840676e-08	"2"	152626951	152635198	"Rem1"	"protein_coding"	147.958888888889	8.94016280864956	"TRUE"
"ENSMUSG00000000365"	14.8	0	0.69	15.68	80.14	0	6.52	0.81	23.16	2.6396624111	0.1584918738	0.342824584	"14"	56402697	56525032	"Rnf17"	"protein_coding"	15.7555555555556	0.799993000034816	"FALSE"
"ENSMUSG00000000374"	840.84	599.32	603.96	461.91	554.21	620.8	688.62	655.7	805.2	-0.3196230056	0.1583317432	0.3425923208	"10"	78186725	78244642	"Trappc10"	"protein_coding"	647.84	0.800432006713322	"FALSE"
"ENSMUSG00000000378"	1923.1	2024.17	1984.83	2347.19	2619.45	2243.79	3310.8	2415.34	2127.9	0.2813829322	0.1663774883	0.3541896358	"11"	6546887	6596744	"Ccm2"	"protein_coding"	2332.95222222222	0.778905436269315	"FALSE"
"ENSMUSG00000000384"	863.04	858.95	646.16	373.29	293.52	384.41	409.07	234.29	232.48	-1.1698124327	3.79427613972205e-08	1.09035789398101e-06	"11"	6615598	6626067	"Tbrg4"	"protein_coding"	477.245555555556	7.42087106522558	"TRUE"
"ENSMUSG00000000385"	21.28	31.09	80.94	1.57	2.9	1.51	68.02	14.64	0	-4.4928402919	0.0023608804	0.0149393532	"16"	97564684	97611195	"Tmprss2"	"protein_coding"	24.6611111111111	2.62692601331758	"TRUE"
"ENSMUSG00000000386"	239.58	135.26	220.69	2623.23	2866.62	1993.8	4741.16	8491.53	9427.26	3.6517232238	9.46999019092378e-12	5.67736796992077e-10	"16"	97447035	97462907	"Mx1"	"protein_coding"	3415.45888888889	11.0236504708415	"TRUE"
"ENSMUSG00000000392"	18.5	10.11	59.5	66.66	23.17	88.36	1.86	217.21	137.17	1.014138927	0.2761479139	0.4879258027	"2"	62500943	62574075	"Fap"	"protein_coding"	69.1711111111111	0.558858233212134	"FALSE"
"ENSMUSG00000000394"	6.48	3.11	7.61	5.49	29.93	17.37	8.39	7.32	0.89	1.6125018014	0.1184608381	0.2815502923	"2"	62474530	62483650	"Gcg"	"protein_coding"	9.62111111111111	0.926425199088983	"FALSE"
"ENSMUSG00000000399"	1961.03	1853.93	1796.65	1899.39	1789.1	2530.77	2029.53	1250.38	1210.47	0.1485524977	0.550480868	0.7314152559	"6"	126821721	126849136	"Ndufa9"	"protein_coding"	1813.47222222222	0.259257770364191	"FALSE"
"ENSMUSG00000000402"	14.8	4.66	0.69	13.33	21.24	5.29	4.66	41.49	24.94	0.998996839	0.3611139753	0.5745652839	"X"	166523007	166585720	"Egfl6"	"protein_coding"	14.5666666666667	0.442355703823999	"FALSE"
"ENSMUSG00000000409"	88.8	83.95	87.86	716	895.03	770.33	3726.39	2186.74	2333.66	3.1917700485	2.49971244968872e-18	4.20576619660127e-16	"4"	129548344	129573641	"Lck"	"protein_coding"	1209.86222222222	17.6021099468063	"TRUE"
"ENSMUSG00000000411"	0	1.55	0	14.9	0	0	17.7	25.22	26.72	3.2548326268	0.1387352893	0.3132304898	"4"	129489014	129491022	"Tssk3"	"protein_coding"	9.56555555555556	0.85781305587763	"FALSE"
"ENSMUSG00000000416"	0.93	0	2.08	7.06	25.1	0	60.57	40.68	31.17	3.3758091531	0.0096881536	0.0453559883	"6"	18366478	18514843	"Cttnbp2"	"protein_coding"	18.6211111111111	2.01375898432582	"TRUE"
"ENSMUSG00000000420"	5629.63	3787.93	4478.14	4229.33	3107.04	1890.34	3603.39	7128.07	7890.79	-0.5907370823	0.1195963555	0.2833781695	"18"	24205344	24286818	"Galnt1"	"protein_coding"	4638.29555555556	0.922282054547904	"FALSE"
"ENSMUSG00000000439"	304.33	260.41	371.51	427.4	209.52	254.51	314.03	327.85	283.25	-0.0698849743	0.8006503496	0.8959914308	"6"	115601902	115622624	"Mkrn2"	"protein_coding"	305.867777777778	0.0965571023824464	"FALSE"
"ENSMUSG00000000440"	41.63	48.97	41.51	60.39	180.55	112.53	41	13.83	73.93	1.4168823046	0.0018273388	0.0122035111	"6"	115360951	115490399	"Pparg"	"protein_coding"	68.26	2.73818092427889	"TRUE"
"ENSMUSG00000000441"	1374.57	1214.19	1317.22	1949.58	1326.62	1052.03	1296.18	1568.47	1534.69	0.1482003207	0.5592752916	0.737798538	"6"	115618067	115676635	"Raf1"	"protein_coding"	1403.72777777778	0.252374367081212	"FALSE"
"ENSMUSG00000000486"	1699.25	1909.12	1704.64	1382.59	1372	1733.25	1818	1233.3	947.71	-0.2434056977	0.372305426	0.5860425609	"7"	127214447	127233130	"Sept1"	"protein_coding"	1533.31777777778	0.429100634303534	"FALSE"
"ENSMUSG00000000489"	344.1	401.88	411.63	352.12	485.66	265.09	253.46	461.27	341.14	-0.0716215357	0.8134256841	0.9035031702	"15"	79995900	80014808	"Pdgfb"	"protein_coding"	368.483333333333	0.0896821187684137	"FALSE"
"ENSMUSG00000000530"	1175.69	1514.24	1661.06	536.41	821.66	471.26	1261.7	731.36	816.78	-1.2514137396	1.59489711969698e-06	3.03875238431399e-05	"15"	101128522	101145336	"Acvrl1"	"protein_coding"	998.906666666667	5.79726732626758	"TRUE"
"ENSMUSG00000000531"	13847.45	8833.58	7512.46	13559.25	17337.8	11003.69	8309.14	16067.86	16520.87	0.4727513327	0.3009422552	0.5135834985	"15"	101224207	101232755	"Grasp"	"protein_coding"	12554.6777777778	0.521516828837558	"FALSE"
"ENSMUSG00000000532"	100.83	88.62	37.36	121.55	217.24	132.17	157.48	133.42	114.01	1.0549972391	0.1773665726	0.3702620377	"15"	101174067	101213679	"Acvr1b"	"protein_coding"	122.52	0.751128226123704	"FALSE"
"ENSMUSG00000000538"	306.18	269.73	365.97	193.7	362.07	111.77	123.93	248.12	318.87	-0.4989802928	0.2435558124	0.4515110107	"11"	60226714	60352905	"Tom1l2"	"protein_coding"	255.593333333333	0.613401501636758	"FALSE"
"ENSMUSG00000000544"	14.8	20.21	26.29	3.14	0.97	0	0	0	0	-3.8983336294	0.0043725867	0.0243320533	"1"	166130238	166166510	"Gpa33"	"protein_coding"	7.26777777777778	2.35926157053807	"TRUE"
"ENSMUSG00000000552"	1985.08	2442.37	2247.03	652.48	1007.03	550.56	354.1	683.36	752.65	-1.5950327546	4.29813995930372e-05	0.0005437968	"15"	103313895	103340086	"Zfp385a"	"protein_coding"	1186.07333333333	4.36671944678696	"TRUE"
"ENSMUSG00000000555"	1664.1	1808.85	1953.7	852.45	590.9	501.47	539.53	1962.21	1473.23	-1.4804015643	6.06881201217328e-05	0.0007243342	"15"	103344286	103366763	"Itga5"	"protein_coding"	1260.71555555556	4.21689631502894	"TRUE"
"ENSMUSG00000000561"	394.98	378.56	425.47	227.43	205.66	328.52	136.98	198.5	237.82	-0.6531032908	0.0079551741	0.0389963954	"3"	105959369	105970037	"Wdr77"	"protein_coding"	281.546666666667	2.09935031132326	"FALSE"
"ENSMUSG00000000562"	3.7	2.33	2.77	5.49	10.62	3.02	0.93	1.63	0	1.1139791334	0.2792377541	0.4904644943	"3"	105870858	105908926	"Adora3"	"protein_coding"	3.38777777777778	0.55402586366772	"FALSE"
"ENSMUSG00000000563"	4937.72	5577.34	5073.11	5711.51	6171.59	8466.12	10400.17	4473.55	4845.46	0.384525923	0.5318716532	0.7170054971	"3"	105942698	105960099	"Atp5f1"	"protein_coding"	6184.06333333333	0.274193155358825	"FALSE"
"ENSMUSG00000000567"	15.73	17.88	18.68	2.35	17.38	18.88	4.66	16.27	32.96	-0.4429566903	0.5594798909	0.7379673113	"11"	112782224	112787760	"Sox9"	"protein_coding"	16.0877777777778	0.252215518479888	"FALSE"
"ENSMUSG00000000568"	5583.38	5918.59	6061.72	3328.25	3474.9	3675.7	3142.13	2966.1	2670.35	-0.7451173913	0.1900961738	0.3863214956	"5"	99955935	99978938	"Hnrnpd"	"protein_coding"	4091.23555555556	0.721026624398469	"FALSE"
"ENSMUSG00000000579"	94.35	160.13	120.38	72.93	82.07	98.18	33.55	56.13	39.19	-0.566943685	0.1181185077	0.2810247948	"17"	6601671	6609774	"Dynlt1c"	"protein_coding"	84.1011111111111	0.927682048514861	"FALSE"
"ENSMUSG00000000581"	1092.44	1101.48	1131.82	1249.27	1487.86	2159.96	1411.72	892.43	972.65	0.5584325855	0.0081825116	0.0399325707	"11"	17257579	17269176	"C1d"	"protein_coding"	1277.73666666667	2.08711337033864	"FALSE"
"ENSMUSG00000000594"	58442.34	62858.78	58404.05	29540.2	28897.94	22453.72	10539.01	6287.7	7164.86	-1.1515675645	0.0147201732	0.0622177825	"11"	55098115	55113029	"Gm2a"	"protein_coding"	31620.9555555556	1.83208707998753	"FALSE"
"ENSMUSG00000000600"	960.16	872.94	1156.03	1220.25	1115.17	1117.74	1559.89	2036.24	1903.45	0.2081755551	0.7906443567	0.8901503626	"5"	3803184	3845564	"Krit1"	"protein_coding"	1326.87444444444	0.102018824536857	"FALSE"
"ENSMUSG00000000605"	2629.81	2234.82	2408.22	2191.13	2304.69	1959.06	1107.95	1731.17	1837.53	-0.1721366764	0.7383022329	0.8580872411	"7"	7282309	7300851	"Clcn4"	"protein_coding"	2044.93111111111	0.131765818107831	"FALSE"
"ENSMUSG00000000617"	10.18	0	0	13.33	14.48	2.27	7.45	13.02	17.81	1.5774961518	0.4756221942	0.6732871378	"11"	50850685	50866208	"Grm6"	"protein_coding"	8.72666666666667	0.322737887876525	"FALSE"
"ENSMUSG00000000627"	77.7	39.64	51.19	243.11	111.03	138.96	210.59	279.85	141.62	1.553143623	0.0009884292	0.0073701209	"6"	82911885	82939769	"Sema4f"	"protein_coding"	143.743333333333	3.00505443322994	"TRUE"
"ENSMUSG00000000628"	2135.86	2065.37	1657.6	387.41	535.86	652.52	36.34	296.12	126.48	-1.8945164761	0.0209265455	0.0813017727	"6"	82725025	82774454	"Hk2"	"protein_coding"	877.062222222222	1.67930245795426	"FALSE"
"ENSMUSG00000000631"	1532.75	1170.66	1416.85	1335.54	861.24	512.8	1703.39	1508.27	1418.9	-0.6046289882	0.0714857738	0.1988808773	"11"	77763246	77865980	"Myo18a"	"protein_coding"	1273.37777777778	1.14578037742811	"FALSE"
"ENSMUSG00000000673"	1647.45	2262.03	2056.09	1888.41	1993.79	1971.15	1793.77	2340.5	2668.56	-0.0274794642	0.9384149716	0.9747162975	"17"	83831356	83846790	"Haao"	"protein_coding"	2069.08333333333	0.0276050720440644	"FALSE"
"ENSMUSG00000000682"	5929.34	8482.22	8687.17	10700.75	15560.28	21108.65	15153.44	8512.69	7854.27	1.0361249067	0.0042508215	0.0238016345	"4"	134082448	134095082	"Cd52"	"protein_coding"	11332.09	2.37152713149315	"TRUE"
"ENSMUSG00000000686"	37.93	59.85	44.28	48.62	36.69	24.17	0	4.88	7.13	-0.3773062176	0.5269331774	0.7128854731	"11"	77515121	77538607	"Abhd15"	"protein_coding"	29.2833333333333	0.278244455995207	"FALSE"
"ENSMUSG00000000693"	313.58	282.95	300.94	1263.39	1565.1	460.69	2285.78	2952.27	2959.83	1.8734978308	9.66639761777895e-07	1.941e-05	"6"	83034173	83052562	"Loxl3"	"protein_coding"	1376.05888888889	6.01473534455244	"TRUE"
"ENSMUSG00000000708"	371.86	393.33	400.56	444.66	528.14	396.5	369.94	569.46	758.88	0.2316694311	0.5117535667	0.7017229485	"17"	53566861	53672720	"Kat2b"	"protein_coding"	470.37	0.290939121811073	"FALSE"
"ENSMUSG00000000711"	900.04	576.78	666.22	574.05	557.1	441.05	722.17	861.52	768.68	-0.4466876613	0.195998147	0.3944732144	"10"	128677193	128696268	"Rab5b"	"protein_coding"	674.178888888889	0.707748034518417	"FALSE"
"ENSMUSG00000000730"	0.93	0	0.69	5.49	0	0.76	1.86	6.51	6.23	1.9998334876	0.2277296464	0.4327070686	"10"	78041947	78063622	"Dnmt3l"	"protein_coding"	2.49666666666667	0.642580428191071	"FALSE"
"ENSMUSG00000000731"	17.58	3.11	5.53	632.09	351.45	282.46	1299.9	1438.31	1528.46	5.6327037618	2.33107322470542e-25	7.48202779800449e-23	"10"	78030022	78043610	"Aire"	"protein_coding"	617.654444444444	24.6324440840144	"TRUE"
"ENSMUSG00000000732"	1829.68	2149.32	2449.73	6104.41	4930.9	2725.62	6918.85	9146.42	6588.57	1.0979156594	0.0270483472	0.0985420875	"10"	78069360	78079525	"Icosl"	"protein_coding"	4760.38888888889	1.56785926748348	"FALSE"
"ENSMUSG00000000738"	1933.28	1713.24	1703.95	1365.34	871.86	875.31	1542.18	1047	1261.24	-0.7812315279	0.0015905406	0.0109048467	"8"	123062942	123097760	"Spg7"	"protein_coding"	1368.15555555556	2.79845524065223	"FALSE"
"ENSMUSG00000000740"	10283.37	12312.91	10270.74	11876.31	16899.45	20826.2	16754.32	7984.71	7488.19	0.5937559561	0.3643829229	0.5781129837	"8"	123102350	123105244	"Rpl13"	"protein_coding"	12744.0222222222	0.438441984783793	"FALSE"
"ENSMUSG00000000743"	3607.55	4170.37	3906.7	4383.03	5141.38	3563.17	8569.12	6739.21	6821.94	0.1633863751	0.403185109	0.6121125694	"8"	123204264	123212763	"Chmp1a"	"protein_coding"	5211.38555555556	0.394495516241485	"FALSE"
"ENSMUSG00000000751"	2708.44	3386.83	2500.93	2342.48	860.28	1567.86	1079.99	1317.9	932.57	-0.849089903	0.0029317666	0.0176983355	"11"	75298166	75348324	"Rpa1"	"protein_coding"	1855.25333333333	2.53287060714374	"FALSE"
"ENSMUSG00000000753"	111	137.59	125.91	80.78	196	339.85	105.3	100.88	285.03	0.7194315132	0.2730582754	0.4849841496	"11"	75409769	75422701	"Serpinf1"	"protein_coding"	164.704444444444	0.563744657047885	"FALSE"
"ENSMUSG00000000759"	1339.42	1147.34	1573.2	1249.27	684.55	496.94	871.26	1334.17	1335.17	-0.7399943602	0.0217943351	0.0838456966	"8"	12614277	12672248	"Tubgcp3"	"protein_coding"	1114.59111111111	1.66165637586886	"FALSE"
"ENSMUSG00000000766"	12.95	27.21	4.15	0.78	0	2.27	0	0.81	2.67	-3.8067229305	0.0069309301	0.034961314	"10"	6758506	7038198	"Oprm1"	"protein_coding"	5.64888888888889	2.15920848108904	"TRUE"
